full_name,owner_name,repo_name,url,license,build_status,security_policy,last_updated_at
asdf-community/asdf-direnv,asdf-community,asdf-direnv,https://github.com/asdf-community/asdf-direnv.git,Apache License 2.0,y,x,2020-06-22T15:12:39Z
asdf-community/asdf-php,asdf-community,asdf-php,https://github.com/asdf-community/asdf-php.git,Apache License 2.0,y,x,2020-06-19T06:13:41Z
asdf-community/asdf-crystal,asdf-community,asdf-crystal,https://github.com/asdf-community/asdf-crystal.git,Apache License 2.0,y,x,2020-06-25T00:54:12Z
asdf-community/asdf-deno,asdf-community,asdf-deno,https://github.com/asdf-community/asdf-deno.git,Apache License 2.0,y,x,2020-06-22T14:42:51Z
Banno/asdf-hashicorp,Banno,asdf-hashicorp,https://github.com/Banno/asdf-hashicorp.git,MIT License,y,x,2020-06-02T18:49:21Z
emersonsoares/asdf-dotnet-core,emersonsoares,asdf-dotnet-core,https://github.com/emersonsoares/asdf-dotnet-core.git,MIT License,y,x,2020-06-15T22:56:25Z
twuni/asdf-yarn,twuni,asdf-yarn,https://github.com/twuni/asdf-yarn.git,MIT License,y,x,2020-06-05T21:57:15Z
asdf-community/asdf-haskell,asdf-community,asdf-haskell,https://github.com/asdf-community/asdf-haskell.git,Other,x,x,2020-06-08T15:24:18Z
asdf-community/asdf-link,asdf-community,asdf-link,https://github.com/asdf-community/asdf-link.git,Apache License 2.0,y,x,2020-06-10T12:07:52Z
oae/asdf-flutter,oae,asdf-flutter,https://github.com/oae/asdf-flutter.git,MIT License,y,x,2020-06-24T12:20:43Z
asdf-community/asdf-ocaml,asdf-community,asdf-ocaml,https://github.com/asdf-community/asdf-ocaml.git,Apache License 2.0,y,x,2020-06-19T06:37:23Z
asdf-community/asdf-gleam,asdf-community,asdf-gleam,https://github.com/asdf-community/asdf-gleam.git,MIT License,y,x,2020-06-23T09:41:17Z
asdf-community/asdf-ubuntu,asdf-community,asdf-ubuntu,https://github.com/asdf-community/asdf-ubuntu.git,Apache License 2.0,y,x,2020-06-24T01:51:26Z
asdf-community/asdf-alpine,asdf-community,asdf-alpine,https://github.com/asdf-community/asdf-alpine.git,Apache License 2.0,y,x,2020-06-07T06:12:07Z
asdf-community/asdf-elm,asdf-community,asdf-elm,https://github.com/asdf-community/asdf-elm.git,Apache License 2.0,y,x,2020-06-22T15:14:17Z
PatOConnor43/asdf-dart,PatOConnor43,asdf-dart,https://github.com/PatOConnor43/asdf-dart.git,MIT License,y,x,2020-06-24T14:15:27Z
crflynn/asdf-poetry,crflynn,asdf-poetry,https://github.com/crflynn/asdf-poetry.git,MIT License,y,x,2020-05-16T05:47:11Z
pfnet-research/asdf-clusterctl,pfnet-research,asdf-clusterctl,https://github.com/pfnet-research/asdf-clusterctl.git,MIT License,y,x,2020-06-22T13:26:41Z
asdf-community/asdf-opam,asdf-community,asdf-opam,https://github.com/asdf-community/asdf-opam.git,Apache License 2.0,y,x,2020-06-22T15:27:54Z
asdf-community/asdf-rust,asdf-community,asdf-rust,https://github.com/asdf-community/asdf-rust.git,Apache License 2.0,y,x,2020-06-22T14:54:45Z
asdf-community/asdf-racket,asdf-community,asdf-racket,https://github.com/asdf-community/asdf-racket.git,Apache License 2.0,y,x,2020-06-07T06:13:00Z
jthegedus/asdf-gcloud,jthegedus,asdf-gcloud,https://github.com/jthegedus/asdf-gcloud.git,MIT License,y,x,2020-06-03T06:44:00Z
apihackers/tox-asdf,apihackers,tox-asdf,https://github.com/apihackers/tox-asdf.git,MIT License,y,x,2020-04-02T21:47:34Z
excid3/asdf-vars,excid3,asdf-vars,https://github.com/excid3/asdf-vars.git,MIT License,x,x,2019-11-14T10:00:21Z
virtualstaticvoid/asdf-docker-compose,virtualstaticvoid,asdf-docker-compose,https://github.com/virtualstaticvoid/asdf-docker-compose.git,MIT License,y,x,2020-06-10T07:36:15Z
asdf-community/asdf-lfe,asdf-community,asdf-lfe,https://github.com/asdf-community/asdf-lfe.git,Other,y,x,2020-06-07T06:08:51Z
enilsen16/asdf-pony,enilsen16,asdf-pony,https://github.com/enilsen16/asdf-pony.git,,x,x,2018-10-12T06:08:21Z
